	P1	P2
6577	SMAD3	SMAD1
6582	SMAD3	SP1
6583	SMAD3	SPEN
6584	SMAD3	STAT1
6585	SMAD3	STAT2
6586	SMAD3	STAT3
6587	SMAD3	STUB1
6591	SMAD3	TGFB1
6593	SMAD3	TGFBR2
6594	SMAD3	TP53
6596	SMAD3	UBE2E1
6597	SMAD3	VDR
6623	SMARCB1	CCND1
6625	SMARCB1	CDKN1A
6626	SMARCB1	HDAC1
6627	SMARCB1	MYC
6628	SMARCB1	NCOR1
6630	SMARCB1	SMARCA4
6631	SMARCB1	SMARCC1
6632	SMARCB1	SMARCC2
6633	SMARCB1	SMARCE1
6634	SMARCB1	TP53
6635	SMARCB1	VIM
6638	SMARCC1	FOXO1A
6640	SMARCC1	HDAC1
6641	SMARCC1	HDAC2
6642	SMARCC1	HDAC6
6645	SMARCC1	NCOR1
6647	SMARCC1	PCAF
6648	SMARCC1	SMARCA4
6651	SMARCC1	VDR
6652	SMARCC2	KPNB1
6653	SMARCC2	PIAS4
6655	SMARCC2	SMARCA4
6656	SMARCC2	SMARCB1
6657	SMARCC2	SMARCC1
6659	SMARCE1	HDAC1
6680	SMRT	CTBP1
6681	SMRT	NCOR1
6738	SNIP1	KPNA6
6739	SNRPD2	HGS
6740	SNW1	CDK9
6743	SNW1	MAML1
6746	SNW1	MYC
6749	SNW1	NOTCH2
6750	SNW1	NOTCH3
6752	SNW1	RBL2
6755	SNW1	SMAD3
6756	SNW1	VDR
6759	SNX1	EPS15
6760	SNX1	HGS
6761	SNX1	RAC1
6762	SNX1	SNX2
6763	SNX1	SNX6
6767	SNX4	ABL1
6768	SNX4	AKT1
6770	SNX4	CDK9
6771	SNX4	CSK
6773	SNX4	FYN
6774	SNX4	JAK1
6776	SNX4	LYN
6777	SNX4	RIPK1
6780	SNX4	SRC
6781	SNX6	JAK1
6782	SNX6	SNX1
6842	SOCS5	CRKL
6844	SOCS5	FYN
6846	SOCS5	LYN
6849	SOCS5	STAT5B
6950	SP1	CCNA2
6951	SP1	CDK4
6953	SP1	CTCF
6954	SP1	DAXX
6955	SP1	FOS
6956	SP1	HDAC1
6957	SP1	HDAC2
6959	SP1	RBL2
6960	SP1	RELA
6964	SP1	SMAD1
6966	SP1	SMAD3
6967	SP1	SPEN
6968	SP1	STAT2
6969	SP1	STAT3
6970	SP1	SUMO2
6971	SPEN	CTBP1
6972	SPEN	HDAC1
6973	SPEN	KPNA2
6974	SPEN	PIAS1
6977	SPEN	SMAD3
6978	SPEN	SP1
6979	SPEN	STAT1
6982	SPRY2	LRP1
6983	SRC	ABL1
6984	SRC	APC
6987	SRC	CAV1
6988	SRC	CBL
6989	SRC	CBLB
6992	SRC	CRK
6993	SRC	CRKL
6994	SRC	CSK
6997	SRC	EPOR
6998	SRC	ERBB2
7000	SRC	FYN
7002	SRC	GRB10
7003	SRC	GRB2
7005	SRC	JAK1
7009	SRC	LYN
7010	SRC	MET
7012	SRC	NCK2
7014	SRC	PIK3R2
7017	SRC	PRKCA
7019	SRC	PTK2
7021	SRC	PTPN12
7023	SRC	RELA
7024	SRC	SHC1
7027	SRC	STAT1
7028	SRC	STAT2
7029	SRC	STAT3
7031	SRC	STAT5B
7036	SRC	WASL
7037	STAMBPL1	CLTC
7038	STAMBPL1	COPS5
7039	STAMBPL1	GRB2
7053	STAT1	ABL1
7060	STAT1	CASP3
7061	STAT1	CAV1
7062	STAT1	CBL
7063	STAT1	CBLB
7065	STAT1	CDK2
7069	STAT1	CRK
7070	STAT1	CRKL
7072	STAT1	CSK
7073	STAT1	CTBP1
7074	STAT1	DAB2
7075	STAT1	DAXX
7078	STAT1	EPOR
7079	STAT1	ERBB2
7081	STAT1	ETS1
7083	STAT1	FOS
7084	STAT1	FOXO1A
7085	STAT1	FYN
7088	STAT1	GRB10
7090	STAT1	GRB2
7093	STAT1	HD
7094	STAT1	HDAC1
7095	STAT1	HDAC2
7096	STAT1	HES1
7097	STAT1	HSPA8
7099	STAT1	JAK1
7102	STAT1	JUNB
7104	STAT1	KPNA2
7105	STAT1	KPNB1
7107	STAT1	LYN
7108	STAT1	MCM5
7109	STAT1	MET
7112	STAT1	NCK2
7113	STAT1	NCOA3
7114	STAT1	PAPOLA
7116	STAT1	PCAF
7117	STAT1	PIAS1
7119	STAT1	PIK3CD
7120	STAT1	PIK3R2
7121	STAT1	PPP2CA
7122	STAT1	PTK2
7124	STAT1	PTPN12
7125	STAT1	RAC1
7127	STAT1	RAN
7128	STAT1	RELA
7130	STAT1	RIPK1
7132	STAT1	SMAD3
7136	STAT1	SPEN
7137	STAT1	SRC
7138	STAT1	STAT2
7139	STAT1	STAT3
7141	STAT1	STAT5B
7144	STAT1	TP53
7147	STAT1	VDR
7148	STAT2	ABL1
7152	STAT2	CRKL
7153	STAT2	CSK
7154	STAT2	CTBP1
7156	STAT2	FYN
7157	STAT2	GRB2
7159	STAT2	HDAC1
7160	STAT2	HDAC2
7161	STAT2	JAK1
7163	STAT2	KPNA2
7165	STAT2	LYN
7167	STAT2	PTK2
7170	STAT2	SMAD3
7172	STAT2	SP1
7173	STAT2	SRC
7174	STAT2	STAT1
7175	STAT2	STAT3
7177	STAT2	STAT5B
7182	STAT3	AKT1
7183	STAT3	CCND1
7187	STAT3	ERBB2
7188	STAT3	JAK1
7191	STAT3	MYC
7192	STAT3	PIAS3
7193	STAT3	RAC1
7195	STAT3	SRC
7196	STAT3	STAT1
7297	STAT5B	ABL1
7298	STAT5B	AKT1
7303	STAT5B	CAMK2D
7304	STAT5B	CAV1
7305	STAT5B	CBL
7306	STAT5B	CBLB
7311	STAT5B	CRKL
7313	STAT5B	CSK
7314	STAT5B	CSNK1E
7317	STAT5B	EPOR
7318	STAT5B	ERBB2
7319	STAT5B	FADD
7321	STAT5B	FOS
7322	STAT5B	FYN
7325	STAT5B	GRB10
7327	STAT5B	GRB2
7330	STAT5B	HDAC1
7331	STAT5B	HDAC2
7332	STAT5B	HES1
7333	STAT5B	HSPA8
7334	STAT5B	JAK1
7338	STAT5B	KPNA6
7340	STAT5B	LYN
7341	STAT5B	MET
7343	STAT5B	NCK2
7344	STAT5B	NUP153
7345	STAT5B	PIAS1
7346	STAT5B	PIAS4
7348	STAT5B	PIK3R2
7349	STAT5B	POLR2H
7350	STAT5B	PPP2CA
7351	STAT5B	PRKCA
7354	STAT5B	PTK2
7356	STAT5B	PTPN12
7357	STAT5B	RAC1
7359	STAT5B	RELA
7363	STAT5B	SOCS5
7364	STAT5B	SRC
7365	STAT5B	STAT1
7366	STAT5B	STAT2
7367	STAT5B	STAT3
7370	STAT5B	TGFB1
7374	STAT5B	VDR
7377	STK11	HGS
7379	STK11	PCAF
7389	STUB1	HSPA8
7390	STUB1	PTPN12
7391	STUB1	SMAD1
7393	STUB1	SMAD3
7394	STUB1	TGFB1
7395	SUMO1	PFDN2
7396	SUMO1	PIAS4
7397	SUMO1	SMARCA4
7398	SUMO1	SUMO2
7399	SUMO1	ZNF259
7400	SUMO2	HIPK2
7401	SUMO2	PIAS1
7402	SUMO2	PSMD4
7403	SUMO2	SP1
7404	SUMO2	SUMO1
7413	T2BP	DVL2
7415	T2BP	NFKB1
7419	T2BP	TRAF2
7439	TAB2	HIPK2
7442	TAB2	MAPK14
7443	TAB2	NCOR1
7444	TAB2	NFKB1
7445	TAB2	NLK
7447	TAB2	RIPK1
7453	TAB2	TGFBR2
7455	TAB2	TRAF2
7477	TAK1	TAB2
7478	TAK1	TRAF2
7480	TAK1	VDR
7566	TCF12	HES1
7567	TCF12	ID3
7568	TCF12	ID4
7635	TFDP1	MCM5
7636	TFDP1	MCM7
7639	TFDP2	CDC25C
7641	TGFB1	ANAPC5
7642	TGFB1	CD44
7643	TGFB1	CDK4
7645	TGFB1	DAB2
7646	TGFB1	DYRK1A
7647	TGFB1	FYN
7649	TGFB1	LYN
7650	TGFB1	NCK2
7651	TGFB1	RAN
7652	TGFB1	RHOA
7653	TGFB1	SMAD1
7655	TGFB1	SMAD3
7659	TGFB1	STAT5B
7660	TGFB1	STUB1
7662	TGFB1	TGFB3
7664	TGFB1	TGFBR2
7666	TGFB3	TGFB1
7706	TGFBR2	FYN
7707	TGFBR2	LYN
7708	TGFBR2	SMAD1
7710	TGFBR2	SMAD3
7711	TGFBR2	TGFB1
7744	TIEG2	FAF1
7745	TIEG2	HDAC6
7746	TIP1	CTNNB1
7770	TNFR1	CASP2
7771	TNFR1	CASP3
7774	TNFR1	FADD
7776	TNFR1	JAK1
7777	TNFR1	NFKB1
7778	TNFR1	NSMAF
7779	TNFR1	RELA
7780	TNFR1	RIPK1
7781	TNFR1	STAT1
7786	TNFR1	TRAF2
7791	TNFR2	CSNK1A1
7792	TNFR2	NFKB1
7794	TNFR2	RIPK1
7795	TNFR2	STAT1
7799	TNFR2	TRAF2
7818	TP53	CCNB1
7819	TP53	CDK7
7820	TP53	COPS5
7822	TP53	HDAC1
7823	TP53	HDAC2
7825	TP53	KPNA2
7826	TP53	KPNA6
7827	TP53	LAMR1
7828	TP53	NUP153
7831	TP53	RAN
7833	TP53	RELA
7835	TP53	SMAD1
7837	TP53	SMAD3
7839	TP53	STAT1
7906	TRAF2	CASP3
7907	TRAF2	CCNB1
7908	TRAF2	CRKL
7911	TRAF2	KPNB1
7912	TRAF2	MCM7
7913	TRAF2	NUP153
7914	TRAF2	PCAF
7915	TRAF2	PSMD4
7916	TRAF2	RIPK1
7920	TRAF2	WASL
7944	TRUSS	APH1A
7946	TRUSS	APP
7947	TRUSS	CTNNB1
7949	TRUSS	MYC
7950	TRUSS	NCOR1
7954	TRUSS	RBX1
7955	TRUSS	RIPK1
7958	TRUSS	TRAF2
7959	TRUSS	UBE2D1
7968	UBC9	CASP3
7970	UBC9	GAS1
7974	UBCH5B	BTRC
7975	UBCH5B	CBL
7976	UBCH5B	CUL1
7978	UBCH5B	RBX1
7979	UBCH5B	STUB1
7980	UBCH5B	SUMO1
7981	UBCH5B	UBE3A
7982	UBCH5C	PFDN2
7983	UBCH5C	PPP2CA
7984	UBCH5C	RAN
7985	UBE2E1	RNF4
7986	UBE2E1	SMAD3
7988	UBE3A	HDAC1
7989	UBE3A	MCM7
7992	UBE3A	RBBP7
7993	UBE3A	SAP18
7996	UBE3A	TP53
7997	UBE3A	UBE2D1
7998	UBE3A	UBE2E1
7999	UBE3A	UBE2L3
8005	USP9	CCND1
8006	USP9	SUMO1
8007	USP9	SUMO2
8008	UXT	RPL4
8105	VDR	FOS
8107	VDR	KPNA2
8108	VDR	SMAD1
8110	VDR	SMAD3
8111	VDR	STAT1
8112	VDR	STAT3
8114	VDR	STAT5B
8119	VIM	FYN
8120	VIM	PRKAR1A
8122	VIM	SMAD1
8124	WASL	ABL1
8125	WASL	APC
8128	WASL	CBL
8129	WASL	CBLB
8130	WASL	CLTC
8131	WASL	CRK
8132	WASL	CRKL
8133	WASL	DAB2
8137	WASL	EPOR
8138	WASL	ERBB2
8140	WASL	FYN
8144	WASL	GRB2
8147	WASL	HD
8148	WASL	HSPA8
8150	WASL	JAK1
8153	WASL	MET
8155	WASL	NCK2
8157	WASL	PIK3R2
8159	WASL	PTPN12
8160	WASL	RAC1
8162	WASL	SHC1
8163	WASL	SNX1
8166	WASL	SRC
8167	WASL	STAT3
8172	WASL	TRAF2
8177	WDR12	ITGB4BP
8194	WNT5A	FZD7
8195	YES	ABL1
8197	YES	CBLB
8198	YES	CSK
8199	YES	CTNND1
8203	YES	FYN
8207	YES	LYN
8208	YES	MAPK14
8210	YES	RAC1
8212	YES	SRC
8214	YY1	HDAC1
8215	YY1	PAPOLA
8234	ZIN	RIPK1
8235	ZIN	STAT3
8236	ZIN	UBE2L3
8240	ZNF216	RELA
8241	ZNF216	RIPK1
8243	ZNF259	RBX1
8244	ZNF259	SUMO1
