	P1	P2
2635	FOXO1A	SMAD3
2636	FOXO1A	STAT1
2659	FRAP1	CDK7
2665	FYN	ABL1
2666	FYN	AKT1
2667	FYN	APC
2668	FYN	APP
2670	FYN	ARRB2
2674	FYN	CASP2
2675	FYN	CASP3
2679	FYN	CBL
2680	FYN	CBLB
2681	FYN	CDC42
2683	FYN	CRK
2684	FYN	CRKL
2686	FYN	CSK
2687	FYN	CSNK1E
2688	FYN	CTNNB1
2689	FYN	DAB2
2692	FYN	EPOR
2693	FYN	ERBB2
2694	FYN	FADD
2697	FYN	FLNA
2699	FYN	GJA1
2701	FYN	GRB10
2703	FYN	GRB2
2706	FYN	HD
2707	FYN	HES1
2708	FYN	HSPA8
2709	FYN	JAK1
2712	FYN	KRT18
2714	FYN	LYN
2716	FYN	MET
2717	FYN	MET
2719	FYN	NCK2
2723	FYN	PIK3R2
2724	FYN	PKN1
2727	FYN	PPP2CA
2728	FYN	PRKCA
2735	FYN	PTK2
2737	FYN	PTPN12
2738	FYN	RAC1
2740	FYN	RELA
2742	FYN	RPL8
2743	FYN	SHC1
2747	FYN	SOCS5
2749	FYN	SRC
2750	FYN	STAT1
2751	FYN	STAT2
2752	FYN	STAT3
2754	FYN	STAT5B
2756	FYN	TGFB1
2757	FYN	TGFBR2
2760	FYN	VIM
2761	FYN	WASL
2764	FZD1	WNT5A
2768	FZD4	WNT5A
2771	FZR1	CCNB1
2772	FZR1	CCNB2
2773	FZR1	CCNH
2774	FZR1	CDC16
2777	FZR1	CDC25C
2779	FZR1	CDC37
2780	FZR1	CDK2
2781	FZR1	CDK7
2782	FZR1	CDKN1A
2783	FZR1	ID3
2786	G3BP2	RELA
2787	G3BP2	RPL8
2860	GAPDH	APP
2862	GAPDH	MYC
2863	GAPDH	PLD2
2869	GAS1	HIP1
2871	GAS1	MYC
2873	GAS1	RAB23
2875	GIPC	AKT1
2876	GIPC	CLTC
2877	GIPC	DAB2
2878	GIPC	ENG
2879	GIPC	FZD1
2880	GIPC	ITGA6
2881	GIPC	PRKCA
2882	GIPC	RAC1
2885	GIT1	CCNB1
2886	GIT1	CDK2
2887	GIT1	CRKL
2889	GIT1	GRB2
2891	GIT1	KPNB1
2892	GIT1	MCM7
2893	GIT1	NUP153
2895	GJA1	FYN
2896	GJA1	LYN
2904	GP130	ERBB2
2905	GP130	FYN
2906	GP130	JAK1
2908	GP130	LYN
2910	GP130	STAT1
2912	GP130	STAT5B
2968	GRB2	ABL1
2973	GRB2	CBL
2974	GRB2	CBLB
2975	GRB2	CDC42
2976	GRB2	CRK
2977	GRB2	CRKL
2978	GRB2	CSK
2980	GRB2	EPOR
2981	GRB2	EPS15
2982	GRB2	ERBB2
2984	GRB2	FYN
2987	GRB2	GIT1
2989	GRB2	GRB10
2993	GRB2	JAK1
2998	GRB2	LYN
2999	GRB2	MET
3001	GRB2	NCK2
3002	GRB2	PIK3R2
3004	GRB2	PRKCA
3006	GRB2	PRKCI
3007	GRB2	PTK2
3009	GRB2	PTPN12
3010	GRB2	RAC1
3012	GRB2	RANBP9
3013	GRB2	RELA
3014	GRB2	SHC1
3019	GRB2	SRC
3020	GRB2	STAT1
3021	GRB2	STAT2
3022	GRB2	STAT3
3024	GRB2	STAT5B
3028	GRB2	WASL
3053	GRB10	ABL1
3057	GRB10	CAV1
3058	GRB10	CBL
3059	GRB10	CBLB
3060	GRB10	CRKL
3061	GRB10	CSK
